Date,Short Volume,Total Volume,ticker
2012-05-22,100267.0,247400.0,COST
2012-05-23,138412.0,312503.0,COST
2012-05-24,189804.0,344859.0,COST
2012-05-25,95991.0,188621.0,COST
2012-05-29,157604.0,300923.0,COST
2012-05-30,179453.0,289573.0,COST
2012-05-31,153287.0,272601.0,COST
2012-06-01,219642.0,300565.0,COST
2012-06-04,153027.0,248664.0,COST
2012-06-05,118573.0,176211.0,COST
2012-06-06,93672.0,174451.0,COST
2012-06-07,106191.0,255395.0,COST
2012-06-08,91445.0,265818.0,COST
2012-06-11,79849.0,121232.0,COST
2012-06-12,71190.0,193444.0,COST
2012-06-13,44972.0,88599.0,COST
2012-06-14,219919.0,339310.0,COST
2012-06-15,178718.0,273229.0,COST
2012-06-18,79921.0,151817.0,COST
2012-06-19,90342.0,162156.0,COST
2012-06-20,78066.0,200551.0,COST
2012-06-21,234154.0,362039.0,COST
2012-06-22,65784.0,119721.0,COST
2012-06-25,128161.0,178859.0,COST
2012-06-26,173178.0,310053.0,COST
2012-06-27,151505.0,243310.0,COST
2012-06-28,367061.0,486250.0,COST
2012-06-29,123219.0,228399.0,COST
2012-07-02,123856.0,199310.0,COST
2012-07-03,44273.0,91478.0,COST
2012-07-05,80111.0,190286.0,COST
2012-07-06,66054.0,149189.0,COST
2012-07-09,56728.0,144818.0,COST
2012-07-10,83494.0,178225.0,COST
2012-07-11,60971.0,195186.0,COST
2012-07-12,85121.0,144423.0,COST
2012-07-13,54827.0,115388.0,COST
2012-07-16,69615.0,100498.0,COST
2012-07-17,87679.0,135748.0,COST
2012-07-18,60746.0,170635.0,COST
2012-07-19,69003.0,138911.0,COST
2012-07-20,75168.0,114454.0,COST
2012-07-23,95547.0,149377.0,COST
2012-07-24,94387.0,153915.0,COST
2012-07-25,80445.0,147767.0,COST
2012-07-26,81045.0,167760.0,COST
2012-07-27,85336.0,166840.0,COST
2012-07-30,71486.0,122373.0,COST
2012-07-31,37605.0,94130.0,COST
2012-08-01,316482.0,553366.0,COST
2012-08-02,71230.0,116076.0,COST
2012-08-03,82515.0,198866.0,COST
2012-08-06,45649.0,72476.0,COST
2012-08-07,60534.0,141036.0,COST
2012-08-08,43637.0,140982.0,COST
2012-08-09,26106.0,61675.0,COST
2012-08-10,32390.0,103854.0,COST
2012-08-13,27435.0,62708.0,COST
2012-08-14,38484.0,102345.0,COST
2012-08-15,55941.0,99710.0,COST
2012-08-16,48226.0,89835.0,COST
2012-08-17,48126.0,90148.0,COST
2012-08-20,51254.0,91086.0,COST
2012-08-21,62209.0,125167.0,COST
2012-08-22,30818.0,68993.0,COST
2012-08-23,34342.0,137360.0,COST
2012-08-24,65057.0,128629.0,COST
2012-08-27,66316.0,123064.0,COST
2012-08-28,50995.0,79187.0,COST
2012-08-29,71185.0,149864.0,COST
2012-08-30,181322.0,262283.0,COST
2012-08-31,78181.0,170671.0,COST
2012-09-04,61695.0,109610.0,COST
2012-09-05,59963.0,109977.0,COST
2012-09-06,86275.0,157140.0,COST
2012-09-07,50355.0,86957.0,COST
2012-09-10,97994.0,142445.0,COST
2012-09-11,75743.0,232802.0,COST
2012-09-12,111172.0,215765.0,COST
2012-09-13,127597.0,194067.0,COST
2012-09-14,127348.0,257003.0,COST
2012-09-17,42663.0,126704.0,COST
2012-09-18,74747.0,147910.0,COST
2012-09-19,44976.0,164727.0,COST
2012-09-20,54962.0,133499.0,COST
