seqNo,ticker,txDate,shortVol,totVol
179,COST,2011-09-16,176562,268046
180,COST,2011-09-19,179065,245008
181,COST,2011-09-20,172722,277455
182,COST,2011-09-21,204473,296646
183,COST,2011-09-22,400341,617533
184,COST,2011-09-23,119207,233694
185,COST,2011-09-26,164295,348482
186,COST,2011-09-27,109755,282258
187,COST,2011-09-28,109317,217893
188,COST,2011-09-29,165466,268358
189,COST,2011-09-30,162253,321226
190,COST,2011-10-03,170529,344394
191,COST,2011-10-04,184203,457680
192,COST,2011-10-05,250321,584540
193,COST,2011-10-06,184931,492204
194,COST,2011-10-07,119513,336313
195,COST,2011-10-10,125452,240824
196,COST,2011-10-11,86882,189307
197,COST,2011-10-12,109825,300861
198,COST,2011-10-13,92896,232748
199,COST,2011-10-14,73482,194586
200,COST,2011-10-17,109226,227951
201,COST,2011-10-18,186347,329409
202,COST,2011-10-19,123431,251716
203,COST,2011-10-20,81312,257116
204,COST,2011-10-21,102684,209927
205,COST,2011-10-24,94854,252772
206,COST,2011-10-25,95525,196274
207,COST,2011-10-26,87131,198681
208,COST,2011-10-27,145464,345358
209,COST,2011-10-28,97758,170600
210,COST,2011-10-31,120498,264016
211,COST,2011-11-01,183485,329880
212,COST,2011-11-02,196076,296211
213,COST,2011-11-03,174011,300478
214,COST,2011-11-04,123623,254945
215,COST,2011-11-07,74460,201878
216,COST,2011-11-08,117706,214918
217,COST,2011-11-09,173529,305581
218,COST,2011-11-10,115696,208103
219,COST,2011-11-11,105889,215446
220,COST,2011-11-14,61545,139420
221,COST,2011-11-15,80291,193581
222,COST,2011-11-16,93215,240057
223,COST,2011-11-17,92291,237815
224,COST,2011-11-18,49533,160255
225,COST,2011-11-21,119515,237013
226,COST,2011-11-22,95274,175915
227,COST,2011-11-23,74748,193166
228,COST,2011-11-25,26839,65759
229,COST,2011-11-28,92831,227079
230,COST,2011-11-29,90238,215110
231,COST,2011-11-30,196877,436837
232,COST,2011-12-01,284901,449305
233,COST,2011-12-02,194926,304641
234,COST,2011-12-05,115534,221889
235,COST,2011-12-06,135928,219234
236,COST,2011-12-07,170157,307449
237,COST,2011-12-08,292490,462666
238,COST,2011-12-09,261583,444909
239,COST,2011-12-12,105031,266370
240,COST,2011-12-13,84606,186030
241,COST,2011-12-14,80087,176460
242,COST,2011-12-15,67622,185448
243,COST,2011-12-16,75123,201935
244,COST,2011-12-19,92119,249063
245,COST,2011-12-20,132693,344816
246,COST,2011-12-21,126681,289557
247,COST,2011-12-22,66148,154919
248,COST,2011-12-23,46760,107680
249,COST,2011-12-27,56209,115154
250,COST,2011-12-28,56625,94485
251,COST,2011-12-29,39262,100823
252,COST,2011-12-30,69078,118435
253,COST,2012-01-03,117673,249583
254,COST,2012-01-04,105526,198561
255,COST,2012-01-05,169273,345654
256,COST,2012-01-06,293048,406656
257,COST,2012-01-09,272749,501598
258,COST,2012-01-10,138886,561799
259,COST,2012-01-11,168229,340630
260,COST,2012-01-12,180264,358732
261,COST,2012-01-13,202543,343667
262,COST,2012-01-17,182740,389714
263,COST,2012-01-18,174279,303981
264,COST,2012-01-19,126526,232202
265,COST,2012-01-20,97194,218568
266,COST,2012-01-23,100282,203898
267,COST,2012-01-24,84857,199520
268,COST,2012-01-25,191451,354354
269,COST,2012-01-26,91389,199437
270,COST,2012-01-27,120159,402248
271,COST,2012-01-30,146548,285748
272,COST,2012-01-31,170666,284537
273,COST,2012-02-01,293062,512806
274,COST,2012-02-02,447463,812482
275,COST,2012-02-03,136861,296003
276,COST,2012-02-06,93791,171037
277,COST,2012-02-07,96326,191822
278,COST,2012-02-08,120780,217982
279,COST,2012-02-09,98676,199858
280,COST,2012-02-10,102448,239754
281,COST,2012-02-13,94821,201584
282,COST,2012-02-14,95661,197385
283,COST,2012-02-15,129829,226158
284,COST,2012-02-16,89723,230524
285,COST,2012-02-17,107452,212892
286,COST,2012-02-21,167621,319363
287,COST,2012-02-22,151239,262426
288,COST,2012-02-23,191066,299137
289,COST,2012-02-24,78226,204261
290,COST,2012-02-27,243146,424300
291,COST,2012-02-28,185983,358671
292,COST,2012-02-29,347501,595087
293,COST,2012-03-01,251319,421029
294,COST,2012-03-02,189235,284144
295,COST,2012-03-05,249842,369366
296,COST,2012-03-06,287308,454480
297,COST,2012-03-07,192369,276635
298,COST,2012-03-08,95045,173821
299,COST,2012-03-09,121126,191638
300,COST,2012-03-12,118860,197034
301,COST,2012-03-13,124934,212297
302,COST,2012-03-14,198230,295842
