seqNo,ticker,txDate,shortVol,totVol
142,V,2011-07-26,49130,117222
143,V,2011-07-27,160257,267166
144,V,2011-07-28,143776,351312
145,V,2011-07-29,124088,320240
146,V,2011-08-01,98550,246445
147,V,2011-08-02,160412,325305
148,V,2011-08-03,282043,673182
149,V,2011-08-04,340364,685110
150,V,2011-08-05,323191,592576
151,V,2011-08-08,559614,1110838
152,V,2011-08-09,233930,712184
153,V,2011-08-10,274786,538186
154,V,2011-08-11,266552,521142
155,V,2011-08-12,125979,260365
156,V,2011-08-15,157800,303062
157,V,2011-08-16,163602,245595
158,V,2011-08-17,101809,286484
159,V,2011-08-18,244555,432849
160,V,2011-08-19,292666,616499
161,V,2011-08-22,177365,373965
162,V,2011-08-23,191224,306305
163,V,2011-08-24,249135,435126
164,V,2011-08-25,182341,376056
165,V,2011-08-26,149273,289120
166,V,2011-08-29,139455,262570
167,V,2011-08-30,159603,278368
168,V,2011-08-31,237271,327710
169,V,2011-09-01,195319,298898
170,V,2011-09-02,150295,238487
171,V,2011-09-06,155248,249423
172,V,2011-09-07,118085,222771
173,V,2011-09-08,175166,280005
174,V,2011-09-09,291296,450638
175,V,2011-09-12,226272,419792
176,V,2011-09-13,283005,423974
177,V,2011-09-14,328837,456208
178,V,2011-09-15,282592,401212
179,V,2011-09-16,299660,428940
180,V,2011-09-19,125177,265211
181,V,2011-09-20,222839,402101
182,V,2011-09-21,213203,455758
183,V,2011-09-22,270600,586164
184,V,2011-09-23,187629,367424
185,V,2011-09-26,136957,267419
186,V,2011-09-27,134884,271307
187,V,2011-09-28,139962,329155
188,V,2011-09-29,99908,250898
189,V,2011-09-30,140536,291789
190,V,2011-10-03,152517,345836
191,V,2011-10-04,210041,461094
192,V,2011-10-05,176775,379396
193,V,2011-10-06,148345,259596
194,V,2011-10-07,144856,241594
195,V,2011-10-10,116924,184171
196,V,2011-10-11,174057,309650
197,V,2011-10-12,153248,315404
198,V,2011-10-13,101073,178211
199,V,2011-10-14,177575,290063
200,V,2011-10-17,104115,187379
201,V,2011-10-18,107898,217890
202,V,2011-10-19,121593,422786
203,V,2011-10-20,90937,274639
204,V,2011-10-21,126419,197202
205,V,2011-10-24,96761,161071
206,V,2011-10-25,102247,244754
207,V,2011-10-26,142933,421176
208,V,2011-10-27,298918,589342
209,V,2011-10-28,170206,333977
210,V,2011-10-31,120463,226615
211,V,2011-11-01,187107,380289
212,V,2011-11-02,164014,348840
213,V,2011-11-03,130544,265604
214,V,2011-11-04,183480,301336
215,V,2011-11-07,56308,133105
216,V,2011-11-08,157515,317344
217,V,2011-11-09,147903,268417
218,V,2011-11-10,97678,186164
219,V,2011-11-11,202192,249688
220,V,2011-11-14,73606,128257
221,V,2011-11-15,73319,157758
222,V,2011-11-16,72017,155701
223,V,2011-11-17,89231,254539
224,V,2011-11-18,97633,234759
225,V,2011-11-21,191236,296663
226,V,2011-11-22,115855,246762
227,V,2011-11-23,162514,287195
228,V,2011-11-25,47567,125027
229,V,2011-11-28,152555,280479
230,V,2011-11-29,126762,212381
231,V,2011-11-30,159659,266745
232,V,2011-12-01,186460,329858
233,V,2011-12-02,111215,204870
234,V,2011-12-05,128999,257531
235,V,2011-12-06,83228,198429
236,V,2011-12-07,116171,228475
