seqNo,ticker,txDate,shortVol,totVol
237,MA,2011-12-08,26890,43548
238,MA,2011-12-09,33610,59038
239,MA,2011-12-12,22456,40730
240,MA,2011-12-13,11189,32539
241,MA,2011-12-14,39894,66274
242,MA,2011-12-15,20221,52231
243,MA,2011-12-16,17451,35098
244,MA,2011-12-19,37472,102971
245,MA,2011-12-20,53742,93341
246,MA,2011-12-21,24579,38574
247,MA,2011-12-22,24257,52586
248,MA,2011-12-23,15427,27737
249,MA,2011-12-27,13766,26096
250,MA,2011-12-28,10156,22338
251,MA,2011-12-29,14362,31174
252,MA,2011-12-30,12862,29247
253,MA,2012-01-03,36560,90248
254,MA,2012-01-04,44617,133113
255,MA,2012-01-05,26338,61681
256,MA,2012-01-06,45377,120416
257,MA,2012-01-09,22961,57836
258,MA,2012-01-10,28748,67738
259,MA,2012-01-11,32076,80926
260,MA,2012-01-12,35623,75529
261,MA,2012-01-13,27027,57461
262,MA,2012-01-17,29400,80535
263,MA,2012-01-18,30495,72071
264,MA,2012-01-19,19204,41619
265,MA,2012-01-20,40131,123665
266,MA,2012-01-23,18750,56846
267,MA,2012-01-24,10511,30372
268,MA,2012-01-25,24311,53944
269,MA,2012-01-26,15488,48632
270,MA,2012-01-27,12498,32665
271,MA,2012-01-30,20367,60703
272,MA,2012-01-31,27241,61671
273,MA,2012-02-01,35302,114605
274,MA,2012-02-02,123125,248132
275,MA,2012-02-03,70629,158497
276,MA,2012-02-06,26627,84187
277,MA,2012-02-07,31323,94073
278,MA,2012-02-08,73081,107782
279,MA,2012-02-09,39437,74692
280,MA,2012-02-10,17617,43606
281,MA,2012-02-13,14594,41037
282,MA,2012-02-14,21179,58141
283,MA,2012-02-15,28907,51458
284,MA,2012-02-16,16634,42550
285,MA,2012-02-17,15699,30317
286,MA,2012-02-21,36164,61584
287,MA,2012-02-22,31949,55030
288,MA,2012-02-23,20008,47766
289,MA,2012-02-24,63823,102062
290,MA,2012-02-27,26817,43787
291,MA,2012-02-28,43495,70380
292,MA,2012-02-29,42987,70958
293,MA,2012-03-01,21760,54583
294,MA,2012-03-02,29735,68216
295,MA,2012-03-05,20648,42398
296,MA,2012-03-06,25653,63132
297,MA,2012-03-07,15377,38236
298,MA,2012-03-08,11542,38954
299,MA,2012-03-09,16623,36050
300,MA,2012-03-12,20726,40587
301,MA,2012-03-13,13644,27207
302,MA,2012-03-14,20549,46719
303,MA,2012-03-15,30215,49239
304,MA,2012-03-16,21216,34234
305,MA,2012-03-19,64302,82957
306,MA,2012-03-20,11480,29048
307,MA,2012-03-21,61744,85229
308,MA,2012-03-22,18679,39087
309,MA,2012-03-23,17682,33284
310,MA,2012-03-26,39234,68793
311,MA,2012-03-27,12837,31229
312,MA,2012-03-28,16128,38712
313,MA,2012-03-29,11592,27140
314,MA,2012-03-30,27335,59528
315,MA,2012-04-02,29343,57754
316,MA,2012-04-03,37965,65373
317,MA,2012-04-04,18280,43757
318,MA,2012-04-05,34055,62002
319,MA,2012-04-09,26231,52171
320,MA,2012-04-10,38565,110386
321,MA,2012-04-11,15418,35450
322,MA,2012-04-12,14655,30584
323,MA,2012-04-13,32760,50666
324,MA,2012-04-16,20970,41407
325,MA,2012-04-17,16858,28638
326,MA,2012-04-18,13360,23194
327,MA,2012-04-19,16087,24648
328,MA,2012-04-20,20108,32092
329,MA,2012-04-23,31734,68988
330,MA,2012-04-24,14091,32798
331,MA,2012-04-25,23791,51096
332,MA,2012-04-26,23530,43224
333,MA,2012-04-27,28023,55912
334,MA,2012-04-30,15393,40140
335,MA,2012-05-01,28578,99187
336,MA,2012-05-02,49995,113124
337,MA,2012-05-03,43110,95994
338,MA,2012-05-04,30822,61885
339,MA,2012-05-07,23793,61887
340,MA,2012-05-08,25757,53700
341,MA,2012-05-09,24904,51792
342,MA,2012-05-10,18566,49732
343,MA,2012-05-11,19582,43754
344,MA,2012-05-14,26983,53188
345,MA,2012-05-15,27295,52946
346,MA,2012-05-16,44352,74544
347,MA,2012-05-17,26291,68883
348,MA,2012-05-18,34691,76578
349,MA,2012-05-21,41496,125018
350,MA,2012-05-22,37780,94982
351,MA,2012-05-23,20983,35598
352,MA,2012-05-24,29092,65016
353,MA,2012-05-25,18967,61448
354,MA,2012-05-29,16684,40674
355,MA,2012-05-30,18758,36900
356,MA,2012-05-31,33821,68408
357,MA,2012-06-01,29176,53748
358,MA,2012-06-04,31913,54556
359,MA,2012-06-05,43981,66479
360,MA,2012-06-06,36520,59102
361,MA,2012-06-07,23512,44822
362,MA,2012-06-08,26116,64014
363,MA,2012-06-11,27184,41272
364,MA,2012-06-12,25548,42776
365,MA,2012-06-13,19926,37261
366,MA,2012-06-14,25558,49805
367,MA,2012-06-15,33372,54436
368,MA,2012-06-18,18123,30114
369,MA,2012-06-19,14624,39349
370,MA,2012-06-20,23048,36720
371,MA,2012-06-21,18760,30058
372,MA,2012-06-22,24768,38601
373,MA,2012-06-25,32855,42658
374,MA,2012-06-26,19737,27143
375,MA,2012-06-27,9913,18670
376,MA,2012-06-28,34534,68279
377,MA,2012-06-29,22952,42081
378,MA,2012-07-02,32883,53625
379,MA,2012-07-03,17126,32897
380,MA,2012-07-05,19505,47769
381,MA,2012-07-06,36568,67959
382,MA,2012-07-09,58030,89406
383,MA,2012-07-10,61063,93322
384,MA,2012-07-11,17784,40041
385,MA,2012-07-12,34486,57005
386,MA,2012-07-13,31469,48764
387,MA,2012-07-16,53160,91205
388,MA,2012-07-17,22256,39255
389,MA,2012-07-18,30731,49231
390,MA,2012-07-19,34115,65926
391,MA,2012-07-20,43281,65643
392,MA,2012-07-23,54585,100366
393,MA,2012-07-24,47347,91998
394,MA,2012-07-25,19766,37664
395,MA,2012-07-26,35355,56424
396,MA,2012-07-27,34157,58608
397,MA,2012-07-30,47123,73723
398,MA,2012-07-31,51735,86792
399,MA,2012-08-01,89782,159128
400,MA,2012-08-02,40745,71891
401,MA,2012-08-03,56492,100572
402,MA,2012-08-06,21561,58857
403,MA,2012-08-07,23430,71180
404,MA,2012-08-08,23987,62613
405,MA,2012-08-09,38692,59747
406,MA,2012-08-10,16340,34207
407,MA,2012-08-13,19285,26785
408,MA,2012-08-14,14572,26121
409,MA,2012-08-15,9436,21461
410,MA,2012-08-16,20736,33072
411,MA,2012-08-17,10581,19709
412,MA,2012-08-20,13710,28864
413,MA,2012-08-21,29487,45147
414,MA,2012-08-22,34049,55403
415,MA,2012-08-23,20362,34522
416,MA,2012-08-24,25331,48839
417,MA,2012-08-27,15584,33235
418,MA,2012-08-28,17781,33881
419,MA,2012-08-29,16831,30279
420,MA,2012-08-30,16714,25909
421,MA,2012-08-31,13700,29048
422,MA,2012-09-04,12625,23425
423,MA,2012-09-05,21037,35521
424,MA,2012-09-06,29177,55404
425,MA,2012-09-07,17435,40625
426,MA,2012-09-10,27513,45323
427,MA,2012-09-11,20461,39043
428,MA,2012-09-12,13156,41011
429,MA,2012-09-13,22644,38075
430,MA,2012-09-14,11005,42875
431,MA,2012-09-17,7721,19621
432,MA,2012-09-18,11622,20756
433,MA,2012-09-19,10123,27467
434,MA,2012-09-20,37888,76706
435,MA,2012-09-21,29488,68505
436,MA,2012-09-24,21535,59412
437,MA,2012-09-25,12238,35385
438,MA,2012-09-26,18471,30007
439,MA,2012-09-27,9886,24610
440,MA,2012-09-28,13082,24766
441,MA,2012-10-01,23509,41787
442,MA,2012-10-02,11818,18891
443,MA,2012-10-03,55019,79924
444,MA,2012-10-04,21620,56889
445,MA,2012-10-05,26926,57271
